// DELETE.txt - Quests removed from EFT (Season 1) that are still present in the
// tarkov.dev API. Source: https://escapefromtarkov.fandom.com/wiki/Category:Historical_content
// All 33 quests below were matched by name against the live API (regular mode).
// 32 are already suppressed in src/suppressions/tasks.json5 (disabled: true);
// Glory to CPSU - Part 1 was missing and has now been added.

An Apple a Day Keeps the Doctor Away | 5d6fb2c086f77449da599c24 | Therapist | already suppressed
Athlete | 5c0d0d5086f774363760aef2 | Therapist | already suppressed
Capacity Check | 669fa3a1c26f13bd04030f37 | Mechanic | already suppressed
Cargo X - Part 3 | 5a27bb5986f7741dfb660900 | Peacekeeper | already suppressed
Charisma Brings Success | 5ae4499a86f77449783815db | Ragman | already suppressed
Closer to the People | 675c04f4db8807b75d0f38e8 | Therapist | already suppressed
Dangerous Road | 63ab180c87413d64ae0ac20a | Therapist | already suppressed
Easy Job - Part 2 | 6179acbdc760af5ad2053585 | Prapor | already suppressed
Farming - Part 2 | 5ac3460c86f7742880308185 | Mechanic | already suppressed
Flint | 5c0bdb5286f774166e38eed4 | Skier | already suppressed
Forklift Certified | 669fa394e0c9f9fafa082897 | Mechanic | already suppressed
Friend From the West - Part 2 | 5a27d2af86f7744e1115b323 | Skier | already suppressed
Glory to CPSU - Part 1 | 639135b04ed9512be67647d7 | Prapor | SUPPRESSED NOW
House Arrest - Part 2 | 639135cd8ba6894d155e77cb | Skier | already suppressed
Insider | 5ac3479086f7742880308199 | Mechanic | already suppressed
Kind of Sabotage | 596a101f86f7741ddb481582 | Skier | already suppressed
Loyalty Buyout | 59c93e8e86f7742a406989c4 | Skier | already suppressed
Mentor | 5d6fbc2886f77449d825f9d3 | Peacekeeper | already suppressed
No Fuss Needed | 5ae449a586f7744bde357696 | Ragman | already suppressed
Only Business | 5ae448a386f7744d3730fff0 | Ragman | already suppressed
Perfect Mediator | 5c12452c86f7744b83469073 | Prapor | already suppressed
Pets Won't Need It - Part 2 | 6573387d0b26ed4fde798de3 | Therapist | already suppressed
Private Clinic | 5c0be5fc86f774467a116593 | Therapist | already suppressed
Rite of Passage | 675c1ec7a46173572a0bf20a | Jaeger | already suppressed
Sanitary Standards - Part 2 | 596a204686f774576d4c95de | Therapist | already suppressed
Shady Business | 5d25e48d86f77408251c4bfb | Jaeger | already suppressed
Signal - Part 3 | 5ac346cf86f7741d63233a02 | Mechanic | already suppressed
Signal - Part 4 | 5ac346e886f7741d6118b99b | Mechanic | already suppressed
Spa Tour - Part 2 | 5a03173786f77451cb427172 | Peacekeeper | already suppressed
Spa Tour - Part 6 | 5a27ba9586f7741b543d8e85 | Peacekeeper | already suppressed
The Blood of War - Part 2 | 5b47876e86f7744d1c353205 | Ragman | already suppressed
The Bunker - Part 2 | 5ede567cfa6dc072ce15d6e3 | Prapor | already suppressed
The Survivalist Path - Combat Medic | 5d25e2a986f77409dd5cdf2a | Jaeger | already suppressed
